name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3,,WithinTop3 (Precision),SequenceMatch
25_Events_result,1,1.96645034444698,11.6666666666667,0.23,,,,,,,,11.6666666666667,0.23
25_Events_result,10,17.8669086374823,60,0.41,8.0544963848437,33.3333333333333,0.41,2.15030763293382,12.7272727272727,0.29,,60,0.41
25_Events_result,7,12.9758499939807,60,0.18,7.49244269225977,42.8571428571429,0.15,4.93235156948971,27.2727272727273,0.15,,60,0.18
25_Events_result,2,7.54538378876136,25,0.13,7.16047614494885,20,0.21,,,,,25,0.21
25_Events_result,2,15.8511656926171,45.4545454545455,0.69,9.68846456343324,25,0.18,,,,,45.4545454545455,0.69
25_Events_result,8,0,0,0.1,0,0,0.1,0,0,0.1,,0,0.1
25_Events_result,4,8.64301961604853,42.8571428571429,0.28,1.82647288626813,11.1111111111111,0.19,0,0,0.14,,42.8571428571429,0.28
25_Events_result,2,0,0,0.39,0,0,0.4,,,,,0,0.4
25_Events_result,1,2.90831771057376,12.5,0.07,,,,,,,,12.5,0.07
25_Events_result,1,0,0,0,,,,,,,,0,0
25_Events_result,1,0,0,0.02,,,,,,,,0,0.02
25_Events_result,1,0,100,0.92,,,,,,,,100,0.92
25_Events_result,1,13.2363878858213,53.125,0.5,,,,,,,,53.125,0.5
25_Events_result,1,0.840484544481547,6.55737704918033,0.13,,,,,,,,6.55737704918033,0.13
25_Events_result,11,1.98843535607314,88.8888888888889,0.56,0.882714131879487,60,0.41,0.0422145831717079,80,0.35,,88.8888888888889,0.56
25_Events_result,1,2.09348201051191,81.8181818181818,0.4,,,,,,,,81.8181818181818,0.4
25_Events_result,1,8.88238958399476,30.5555555555556,0.42,,,,,,,,30.5555555555556,0.42
25_Events_result,10,9.04356577965534,15.3846153846154,0.35,13.618796864073,25,0.5,6.29317392445813,16.6666666666667,0.35,,25,0.5
25_Events_result,7,11.3693061524548,19.047619047619,0.42,11.3693061524548,19.047619047619,0.43,11.3693061524548,19.047619047619,0.43,,19.047619047619,0.43
25_Events_result,8,4.97074547280084,10.7142857142857,0.24,21.3643503198117,40,0.84,3.74777673667792,9.09090909090909,0.17,,40,0.84
25_Events_result,4,2.62796171040844,6.66666666666667,0.24,3.8292061380205,10,0.15,3.293328483822,8.69565217391304,0.21,,10,0.24
25_Events_result,2,1.72722379921679,4.54545454545455,0.14,2.1476912089159,5.55555555555556,0.15,,,,,5.55555555555556,0.15
25_Events_result,2,0,0,0.08,1.72722379921679,4.54545454545455,0.09,,,,,4.54545454545455,0.09
25_Events_result,7,0,0,0.12,0,0,0,0,0,0.04,,0,0.12
25_Events_result,1,43.9541194746118,78.2608695652174,0.71,,,,,,,,78.2608695652174,0.71
25_Events_result,10,30.8262764606218,36.8421052631579,0.59,25.7486610162897,40,0.61,22.8941568606699,31.25,0.55,,40,0.61
25_Events_result,7,100,100,0.95,24.9417471770083,31.5789473684211,0.52,100,100,0.95,,100,0.95
25_Events_result,8,24.4461511217451,42.8571428571429,0.81,24.4461511217451,42.8571428571429,0.81,24.4461511217451,42.8571428571429,0.81,,42.8571428571429,0.81
25_Events_result,4,7.80984984230064,28.5714285714286,0.62,4.5739135561238,11.7647058823529,0.18,3.8292061380205,10,0.17,,28.5714285714286,0.62
25_Events_result,2,2.44559393724036,6.25,0.17,2.44559393724036,6.25,0.17,,,,,6.25,0.17
25_Events_result,2,0,0,0.13,0,0,0.13,,,,,0,0.13
25_Events_result,7,0,0,0.4,1.91460306901025,5,0.07,1.91460306901025,5,0.07,,5,0.4
